"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5004","Проверка входа в систему с именем и паролем","Surefire suite","Thu Jul 31 20:16:07 GMT 2025","broken","Thu Jul 31 20:16:12 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"Проверка, что пользователь не может войти без пароля","447","Проверка входа в систему без пароля","Surefire suite","Thu Jul 31 20:16:06 GMT 2025","passed","Thu Jul 31 20:16:07 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutPassword"
"Проверка отображения страницы без товара","20510","Проверка отображения страницы корзины","Surefire suite","Thu Jul 31 20:15:00 GMT 2025","failed","Thu Jul 31 20:15:21 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkPageYourCart"
"","426","Проверка получения сообщений при различных способах входа","Surefire suite","Thu Jul 31 20:16:04 GMT 2025","passed","Thu Jul 31 20:16:04 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка цени и названия товара","20491","Проверка цены и имени товара","Surefire suite","Thu Jul 31 20:14:39 GMT 2025","failed","Thu Jul 31 20:15:00 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkProductYourCart"
"","1","Проверка входа в систему без имени","Surefire suite","Thu Jul 31 20:16:29 GMT 2025","skipped","Thu Jul 31 20:16:29 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutUserName"
"","416","Проверка получения сообщений при различных способах входа","Surefire suite","Thu Jul 31 20:16:03 GMT 2025","passed","Thu Jul 31 20:16:03 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка иконки корзины","20472","Проверка иконки корзины","Surefire suite","Thu Jul 31 20:13:57 GMT 2025","failed","Thu Jul 31 20:14:18 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkCartBadge"
"Проверка перехода на страницу проверки товаров в корзине","20537","Проверка отображения страницы","Surefire suite","Thu Jul 31 20:14:18 GMT 2025","failed","Thu Jul 31 20:14:39 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkButtonCheckout"
"","424","Проверка получения сообщений при различных способах входа","Surefire suite","Thu Jul 31 20:16:05 GMT 2025","passed","Thu Jul 31 20:16:05 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка кнопки возврата на страницу покупок","20487","Проверка возврата на страницу продуктов","Surefire suite","Thu Jul 31 20:15:21 GMT 2025","failed","Thu Jul 31 20:15:42 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkButtonContinueShopping"
"","470","Проверка входа в систему по логину паролю","Surefire suite","Thu Jul 31 20:16:28 GMT 2025","passed","Thu Jul 31 20:16:28 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue"
"","0","test","Surefire suite","Thu Jul 31 20:15:42 GMT 2025","passed","Thu Jul 31 20:15:42 GMT 2025","tests.LogTest","Surefire test","tests.LogTest","test"
"","20497","Проверка локаторов","Surefire suite","Thu Jul 31 20:15:42 GMT 2025","broken","Thu Jul 31 20:16:02 GMT 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
